Model;Link;Price;Currency;City;Add_information
Volvo S80;https://kolesa.kz/a/show/107894327;2 850 000₸;₸;Алматы;2003 г., Б/у седан, 2.9 л, бензин, КПП типтроник, с пробегом 140 000 км, золотистый, металлик, литые диски, панорамная...
Volvo S80;https://kolesa.kz/a/show/111318446;3 500 000₸;₸;Нур-Султан (Астана);2005 г., Б/у седан, 2 л, бензин, КПП автомат, черный, Обмен на полный привод, хороший торг на 27-28 октября
Volvo S80;https://kolesa.kz/a/show/111480860;1 800 000₸;₸;Семей;2002 г., Б/у седан, 2.9 л, бензин, КПП автомат, с пробегом 172 000 км, серебристый, металлик, ветровики, литые диски,...
Volvo S80;https://kolesa.kz/a/show/111474359;4 300 000₸;₸;Нур-Султан (Астана);2008 г., Б/у седан, 3.2 л, бензин, КПП автомат, с пробегом 257 000 км, «CAR CITY kz COMPANY» — Это одно из крупных авт...
Volvo S80;https://kolesa.kz/a/show/111470899;1 400 000₸;₸;Актау;1998 г., Б/у седан, 2.9 л, бензин, КПП автомат, с пробегом 310 000 км, синий, металлик, литые диски, тонировка, хруста...
Volvo S80;https://kolesa.kz/a/show/111421319;2 600 000₸;₸;Усть-Каменогорск;2002 г., Б/у седан, 2.4 л, бензин, КПП механика, черный, металлик, литые диски, тонировка, противотуманки, корректор ф...
Volvo S80;https://kolesa.kz/a/show/111411271;2 700 000₸;₸;Алматы;2000 г., Б/у седан, 2.9 л, бензин, КПП автомат, с пробегом 250 000 км, серебристый, металлик, литые диски, тонировка,...
Volvo S80;https://kolesa.kz/a/show/111099786;2 200 000₸;₸;Алматы;2001 г., Б/у седан, 2.8 л, бензин, КПП автомат, с пробегом 300 000 км, серый, литые диски, тонировка, кожа, дерево, ал...
Volvo S80;https://kolesa.kz/a/show/111389415;2 500 000₸;₸;Щучинск;2002 г., Б/у седан, 2.9 л, бензин, КПП автомат, литые диски, тонировка, люк, ветровики, противотуманки, омыватель фар,...
Volvo S80;https://kolesa.kz/a/show/111379713;1 800 000₸;₸;Нур-Султан (Астана);1999 г., Б/у седан, 2.4 л, дизель, КПП автомат, серебристый, велюр, CD, MP3, Срочно продам машину. Все вопросы по теле...
